marital,default,housing-loan,personal-loan,current-campaign,previous-campaign,age,job,subscribed,education,balance
married,no,yes,no,1,0,52,blue-collar,no,secondary,1117
married,no,yes,no,3,0,32,technician,no,tertiary,396
single,no,yes,no,4,0,32,technician,no,tertiary,2204
single,no,yes,no,2,0,34,management,no,tertiary,872
married,no,no,no,3,2,55,blue-collar,no,primary,145
married,no,yes,no,1,0,26,blue-collar,no,primary,0
single,yes,yes,yes,1,0,32,entrepreneur,no,primary,-849
married,no,yes,no,1,1,61,admin.,yes,unknown,4629
divorced,no,no,no,3,0,45,blue-collar,yes,primary,844
single,no,yes,no,2,0,37,technician,no,secondary,228
single,no,no,no,2,0,38,technician,no,secondary,50
married,no,yes,no,1,1,34,technician,yes,tertiary,1539
married,no,yes,no,3,0,53,blue-collar,no,secondary,2231
married,no,yes,no,2,0,48,admin.,no,secondary,3064
married,no,no,yes,1,0,57,management,no,secondary,82
single,no,no,no,1,0,33,self-employed,no,tertiary,2155
single,no,yes,yes,1,0,36,retired,no,secondary,101
divorced,no,yes,yes,1,0,54,technician,no,secondary,784
married,no,no,yes,3,0,41,blue-collar,no,primary,-516
married,no,yes,no,1,0,63,retired,no,secondary,415
married,no,no,no,2,0,48,management,no,tertiary,5887
married,no,no,no,2,0,48,services,no,secondary,1355
married,no,no,no,1,0,56,admin.,no,secondary,16873
divorced,no,yes,no,1,5,51,blue-collar,no,secondary,203
married,no,yes,no,1,0,31,services,no,secondary,338
married,no,yes,no,4,0,29,technician,no,secondary,444
married,no,no,yes,3,0,41,management,no,secondary,0
single,no,no,no,2,0,32,technician,no,tertiary,360
married,no,no,no,2,3,37,management,yes,tertiary,0
divorced,yes,yes,no,1,0,42,entrepreneur,no,tertiary,2
single,no,yes,no,2,0,31,management,no,tertiary,6248
married,no,yes,no,5,0,41,services,no,tertiary,412
married,no,yes,no,1,0,56,retired,no,secondary,344
divorced,no,no,no,2,0,54,management,no,tertiary,3222
divorced,no,yes,no,2,1,41,blue-collar,no,secondary,174
single,no,no,yes,6,0,40,technician,no,secondary,591
divorced,no,no,no,1,0,50,blue-collar,no,primary,388
married,no,yes,no,2,1,40,unemployed,no,secondary,219
divorced,no,yes,no,1,0,27,admin.,yes,secondary,451
married,no,no,no,2,0,60,retired,no,primary,5
single,no,yes,yes,1,0,28,admin.,no,secondary,177
married,no,no,no,2,2,52,services,yes,secondary,657
married,no,no,no,1,0,37,management,yes,tertiary,1315
married,no,yes,no,2,0,51,blue-collar,no,primary,1466
single,no,no,yes,4,0,41,technician,no,secondary,879
single,no,yes,no,2,0,35,blue-collar,no,primary,293
married,no,yes,no,1,0,38,admin.,no,secondary,424
married,no,yes,no,2,0,34,blue-collar,no,secondary,1831
married,no,no,no,2,0,39,blue-collar,no,primary,111
married,no,yes,no,3,0,34,blue-collar,no,primary,455
single,no,yes,no,1,0,27,services,yes,secondary,-195
single,no,no,no,2,0,32,management,no,tertiary,3616
married,no,no,no,5,0,57,blue-collar,no,secondary,14093
single,no,no,no,2,0,41,unknown,no,tertiary,1567
married,no,yes,no,2,0,41,admin.,no,tertiary,5426
single,no,no,no,1,20,30,admin.,no,tertiary,261
divorced,no,no,no,1,1,36,blue-collar,no,secondary,2843
single,no,no,no,1,0,31,unemployed,yes,primary,406
married,no,yes,no,1,0,36,blue-collar,no,secondary,0
single,no,yes,no,1,7,38,management,no,tertiary,493
married,no,no,no,2,0,49,technician,no,secondary,5996
single,no,yes,no,2,0,57,services,no,primary,3777
single,no,no,no,1,0,34,management,no,secondary,524
single,no,yes,no,2,3,32,management,no,tertiary,574
married,no,yes,yes,3,0,37,blue-collar,no,secondary,427
married,no,yes,no,2,0,33,self-employed,no,tertiary,483
married,no,no,no,1,0,56,unemployed,yes,primary,3391
married,no,yes,no,3,0,27,housemaid,no,primary,0
single,no,no,no,6,3,21,student,yes,secondary,2488
married,no,yes,no,5,0,58,management,no,tertiary,1517
married,no,yes,yes,5,0,32,self-employed,no,secondary,217
single,no,no,no,2,1,33,blue-collar,no,secondary,22
single,no,no,no,4,0,25,student,yes,secondary,331
single,no,no,yes,2,0,25,technician,yes,secondary,505
married,no,yes,no,2,0,30,services,no,secondary,1808
single,no,no,yes,1,0,22,admin.,no,secondary,4111
married,no,no,no,1,0,39,blue-collar,no,primary,52
divorced,no,no,no,2,0,46,management,no,tertiary,25
divorced,no,yes,no,1,0,31,admin.,no,secondary,1890
married,no,no,no,4,0,45,blue-collar,no,primary,419
married,no,yes,no,1,0,32,technician,no,secondary,2693
married,no,no,yes,2,0,36,blue-collar,no,secondary,-231
single,yes,yes,no,2,6,51,management,no,tertiary,-55
single,no,no,no,3,0,34,self-employed,yes,tertiary,462
single,no,no,no,1,0,24,unemployed,no,secondary,119
single,no,no,yes,3,0,45,technician,no,secondary,586
single,no,no,no,1,3,32,blue-collar,no,secondary,228
divorced,no,no,no,1,0,77,retired,yes,tertiary,4659
married,no,yes,no,3,0,41,blue-collar,no,primary,168
married,no,yes,no,1,0,37,blue-collar,no,primary,0
married,yes,yes,no,3,0,43,blue-collar,no,unknown,-715
married,no,yes,no,1,2,48,admin.,no,unknown,0
single,no,yes,no,2,0,27,technician,no,secondary,769
single,no,no,no,10,0,33,management,no,tertiary,0
single,no,yes,yes,1,2,29,admin.,no,secondary,428
single,no,no,no,1,0,34,management,no,tertiary,0
married,no,yes,no,1,0,52,management,yes,tertiary,-970
married,no,no,no,2,0,60,management,no,unknown,6313
divorced,no,no,no,2,0,32,management,no,tertiary,948
single,no,yes,no,2,0,32,management,no,tertiary,0
divorced,no,yes,no,1,0,56,services,no,unknown,1877
single,no,yes,no,2,0,31,management,no,tertiary,874
married,no,yes,yes,2,0,42,admin.,no,secondary,323
married,no,no,yes,2,0,35,management,no,tertiary,106
married,no,no,yes,9,0,56,retired,no,primary,1906
married,no,yes,no,5,0,48,technician,no,secondary,1152
married,no,yes,no,4,1,46,admin.,no,secondary,179
single,no,yes,no,3,0,37,technician,no,unknown,391
married,no,yes,no,2,0,41,entrepreneur,no,unknown,89
single,no,yes,yes,3,0,36,management,no,tertiary,442
divorced,yes,yes,yes,1,0,45,unemployed,no,primary,-249
married,no,no,no,2,0,55,entrepreneur,no,secondary,8104
married,no,no,no,1,0,39,technician,no,secondary,501
divorced,no,no,no,2,0,35,technician,no,secondary,308
married,no,no,no,3,2,55,admin.,yes,secondary,602
married,no,yes,no,3,3,55,technician,no,secondary,273
single,no,no,no,1,0,27,self-employed,no,secondary,50
married,no,yes,no,1,0,34,technician,no,secondary,1641
married,no,no,no,1,0,34,blue-collar,no,tertiary,20
single,no,yes,no,2,0,25,admin.,no,secondary,4590
single,no,no,yes,3,0,41,admin.,no,secondary,-256
married,no,yes,yes,2,0,43,services,no,secondary,978
single,no,no,no,2,2,28,management,yes,tertiary,80
single,no,yes,no,1,0,31,admin.,no,secondary,2104
married,no,no,no,4,0,78,housemaid,no,secondary,499
divorced,no,yes,no,2,0,45,blue-collar,no,secondary,1269
married,no,no,no,1,0,48,technician,no,tertiary,310
single,no,yes,yes,1,0,32,blue-collar,no,secondary,1143
married,no,no,no,3,0,42,technician,no,secondary,2980
single,no,no,no,2,0,37,management,no,tertiary,37
single,no,yes,yes,1,4,40,admin.,no,secondary,462
married,no,yes,no,1,0,32,admin.,no,secondary,1031
married,no,no,no,2,0,42,management,no,tertiary,9009
married,no,yes,yes,1,0,43,admin.,no,secondary,-465
married,no,yes,yes,7,0,44,admin.,no,secondary,5181
married,no,yes,no,2,1,37,admin.,no,secondary,176
married,no,no,no,1,0,37,unknown,no,unknown,1699
married,no,yes,no,2,1,37,admin.,no,tertiary,0
single,no,yes,yes,2,0,28,technician,no,tertiary,172
single,no,no,yes,2,0,32,services,no,secondary,0
single,no,yes,no,5,0,34,admin.,no,secondary,6979
divorced,no,no,no,1,0,40,admin.,no,secondary,6
married,no,yes,no,3,0,34,services,no,secondary,-62
married,no,yes,no,2,0,34,self-employed,no,tertiary,1972
married,no,yes,no,3,4,34,admin.,no,tertiary,899
single,no,yes,no,1,2,37,services,no,secondary,21
married,no,yes,no,2,1,36,technician,no,secondary,23
married,no,yes,no,2,0,56,retired,yes,secondary,-1206
married,no,yes,yes,6,0,49,blue-collar,no,primary,0
married,no,yes,no,12,0,33,self-employed,no,secondary,215
single,no,no,no,2,0,30,management,no,tertiary,1372
married,no,no,no,2,0,36,services,no,secondary,1981
single,no,no,no,2,0,23,student,no,secondary,9216
divorced,no,yes,no,3,0,57,retired,no,secondary,39
single,no,yes,no,2,0,27,blue-collar,no,secondary,5563
married,no,no,yes,2,0,38,services,no,secondary,1
married,no,no,no,1,0,42,technician,no,tertiary,782
married,no,no,no,1,2,75,retired,yes,secondary,3771
single,no,yes,no,1,2,34,technician,no,tertiary,992
married,no,no,no,2,0,48,technician,no,secondary,1526
single,no,yes,no,2,3,35,technician,yes,tertiary,2658
divorced,no,yes,no,4,1,39,management,no,tertiary,1315
single,no,no,no,1,0,29,blue-collar,yes,tertiary,455
single,no,yes,no,2,0,45,technician,no,tertiary,0
married,no,yes,yes,1,0,42,technician,no,secondary,2030
married,no,yes,no,1,1,29,technician,no,secondary,1599
single,no,yes,no,1,1,38,services,no,secondary,-196
married,no,no,no,14,0,56,retired,no,secondary,1333
single,no,yes,no,3,0,36,technician,no,secondary,9149
single,no,yes,no,3,0,25,blue-collar,no,secondary,-350
married,no,yes,no,2,1,38,technician,no,tertiary,432
married,no,no,no,1,0,57,self-employed,no,secondary,11494
married,yes,no,no,4,0,31,management,no,tertiary,-253
married,no,yes,no,2,0,42,management,yes,tertiary,372
married,no,no,no,2,0,45,technician,no,secondary,1410
married,no,yes,no,2,2,30,blue-collar,no,secondary,975
married,no,yes,yes,10,0,49,blue-collar,no,primary,305
married,no,no,no,3,0,49,services,no,secondary,400
married,no,yes,no,3,0,53,retired,no,tertiary,-22
married,no,yes,no,5,0,37,technician,no,secondary,4030
married,no,no,no,2,0,49,blue-collar,no,primary,365
married,no,no,no,7,0,41,self-employed,no,primary,204
married,no,yes,no,1,0,54,management,no,primary,1691
single,no,yes,no,1,0,32,services,no,secondary,406
married,no,no,no,3,0,33,technician,no,secondary,-204
married,no,yes,no,1,1,33,technician,no,secondary,359
married,no,yes,no,1,0,36,blue-collar,no,primary,123
married,no,yes,yes,1,6,35,technician,no,tertiary,0
married,no,no,no,6,0,52,unknown,no,secondary,142
married,no,no,no,3,0,40,entrepreneur,no,tertiary,3571
single,no,yes,no,3,10,44,technician,no,secondary,33
single,no,yes,no,2,5,45,blue-collar,no,secondary,0
single,no,no,no,1,0,30,student,no,secondary,3096
divorced,yes,no,no,3,0,48,technician,no,secondary,20
married,no,yes,no,1,2,33,blue-collar,no,secondary,3576
married,no,yes,no,3,0,57,technician,no,unknown,206
married,no,no,no,3,0,57,housemaid,no,primary,7082
married,no,yes,no,4,0,51,unemployed,no,tertiary,1634
single,no,yes,no,7,0,34,admin.,no,secondary,1
married,no,no,no,3,0,50,self-employed,no,tertiary,4012
married,no,no,no,12,0,44,management,no,tertiary,3762
married,no,yes,yes,2,0,27,admin.,no,secondary,-247
married,no,yes,no,2,0,50,blue-collar,no,secondary,606
married,no,yes,no,1,1,36,management,no,tertiary,0
married,no,yes,no,2,0,42,management,no,secondary,-189
single,no,no,no,2,0,32,unemployed,no,secondary,0
married,no,yes,no,2,0,42,management,no,tertiary,484
married,no,no,yes,2,5,43,technician,no,secondary,0
married,no,yes,no,3,0,31,management,no,tertiary,395
married,no,no,no,5,0,32,management,no,tertiary,2349
divorced,no,no,yes,2,0,55,blue-collar,no,primary,410
married,no,yes,no,3,2,58,retired,no,primary,3401
married,no,no,no,2,0,46,blue-collar,no,primary,222
married,no,yes,yes,4,0,55,blue-collar,no,secondary,989
married,no,no,yes,2,0,34,management,no,tertiary,415
single,no,no,no,4,0,28,unemployed,no,secondary,16
divorced,no,yes,no,2,0,42,technician,no,tertiary,7190
single,no,no,yes,3,0,29,blue-collar,yes,secondary,482
married,no,yes,yes,1,0,54,housemaid,no,secondary,209
single,no,no,no,2,0,32,technician,no,secondary,0
single,no,no,no,3,0,39,technician,no,tertiary,5803
married,no,no,yes,4,0,53,entrepreneur,no,tertiary,624
married,no,no,no,1,2,58,technician,no,tertiary,883
married,no,yes,yes,1,0,40,self-employed,no,secondary,1516
single,no,yes,no,1,0,29,student,no,secondary,872
married,no,yes,yes,3,0,33,technician,no,tertiary,-988
single,no,yes,no,13,0,38,admin.,no,secondary,902
divorced,no,no,no,6,0,56,services,no,secondary,1007
married,no,yes,no,1,3,40,services,no,secondary,0
single,no,yes,yes,1,0,24,blue-collar,yes,secondary,174
married,no,no,no,3,0,46,management,no,secondary,12186
married,no,yes,no,4,0,35,self-employed,no,secondary,524
single,no,yes,no,4,0,35,blue-collar,no,tertiary,0
married,no,yes,no,1,0,34,technician,no,secondary,4
married,no,no,no,2,1,35,housemaid,no,tertiary,11219
single,no,no,no,2,0,38,technician,no,tertiary,0
married,no,no,no,3,0,50,blue-collar,no,primary,5776
divorced,no,yes,no,1,0,51,blue-collar,no,primary,37
married,no,no,no,2,0,59,self-employed,no,tertiary,593
married,no,yes,no,1,0,32,blue-collar,no,secondary,1148
single,no,yes,no,1,0,37,blue-collar,no,secondary,3561
divorced,no,no,no,6,0,42,admin.,no,secondary,63
married,no,no,no,6,0,40,student,no,secondary,260
single,no,yes,no,1,0,28,technician,no,tertiary,2269
married,no,yes,no,3,0,47,admin.,no,secondary,1060
married,no,yes,no,2,0,27,self-employed,no,secondary,-220
married,no,yes,no,5,0,41,management,no,tertiary,49
married,no,no,yes,3,6,34,admin.,yes,tertiary,69
married,no,yes,no,2,0,50,blue-collar,yes,primary,4108
married,no,yes,no,2,0,47,blue-collar,no,secondary,480
married,no,no,no,6,0,53,services,no,secondary,4994
divorced,no,yes,yes,5,0,53,technician,no,secondary,0
married,no,no,no,2,0,47,management,no,tertiary,3681
divorced,yes,yes,no,2,0,49,entrepreneur,yes,unknown,-701
married,no,no,no,1,0,29,management,no,tertiary,451
divorced,no,yes,no,1,0,45,blue-collar,yes,primary,-311
married,no,yes,yes,24,0,38,entrepreneur,yes,secondary,593
married,no,yes,no,5,0,32,blue-collar,yes,secondary,759
divorced,no,no,no,1,0,70,retired,no,primary,4531
divorced,no,no,no,2,5,65,retired,no,primary,1840
married,no,yes,no,1,0,56,blue-collar,no,secondary,345
married,no,yes,no,2,0,35,blue-collar,no,secondary,1287
married,no,no,yes,2,0,56,management,no,unknown,353
married,no,no,yes,2,0,56,technician,no,secondary,205
married,no,yes,no,1,0,49,entrepreneur,yes,secondary,687
married,no,yes,yes,5,0,38,unemployed,no,primary,1147
married,no,yes,no,1,0,35,management,no,tertiary,4286
married,no,no,no,2,0,38,admin.,no,tertiary,605
married,no,yes,yes,7,1,49,blue-collar,no,secondary,8545
married,no,no,no,2,0,55,management,no,unknown,559
single,no,yes,no,3,0,43,blue-collar,no,primary,2
married,no,no,yes,2,0,43,management,no,tertiary,2
single,no,yes,no,3,2,25,admin.,yes,tertiary,760
married,no,yes,no,2,0,30,blue-collar,no,primary,1317
married,no,no,no,1,0,46,blue-collar,no,secondary,182
married,no,no,yes,6,0,50,admin.,no,primary,276
married,no,no,no,4,2,35,entrepreneur,yes,secondary,2971
single,no,no,no,1,0,26,unemployed,no,secondary,1064
married,no,no,no,11,0,45,admin.,no,unknown,1783
married,no,no,no,1,0,37,blue-collar,no,secondary,-67
single,no,no,yes,4,0,60,self-employed,no,tertiary,179
married,no,no,no,1,1,38,management,yes,tertiary,1199
married,no,yes,yes,1,0,47,blue-collar,no,primary,214
married,no,no,no,1,1,33,technician,no,secondary,6699
married,no,no,yes,1,0,51,unemployed,no,secondary,1760
single,no,yes,no,2,0,35,entrepreneur,yes,tertiary,145
married,no,no,no,3,3,35,unemployed,yes,secondary,978
single,no,yes,no,1,0,48,admin.,no,secondary,1150
married,no,no,no,6,0,37,admin.,no,secondary,121
single,no,yes,no,3,3,29,technician,no,tertiary,828
married,no,yes,no,4,0,34,admin.,no,secondary,244
married,no,yes,no,6,0,32,services,yes,primary,228
single,no,no,no,4,0,30,management,yes,tertiary,424
divorced,no,no,yes,1,0,47,management,no,tertiary,447
married,no,no,no,1,0,33,blue-collar,no,primary,-195
single,no,yes,no,1,5,33,management,no,tertiary,1410
married,no,no,no,1,1,63,retired,no,primary,1084
divorced,no,no,no,2,0,51,self-employed,no,primary,10924
married,no,yes,yes,1,1,41,management,no,tertiary,832
married,no,no,no,1,0,56,retired,no,tertiary,478
single,no,no,yes,1,0,60,management,no,tertiary,0
single,no,yes,no,2,0,41,self-employed,no,tertiary,3950
single,no,yes,no,1,0,37,management,no,unknown,504
single,no,yes,yes,2,1,36,blue-collar,no,secondary,219
married,no,no,no,3,0,57,management,no,tertiary,1602
married,no,no,no,2,2,55,management,yes,primary,2587
married,no,yes,yes,1,0,44,admin.,no,secondary,0
married,no,yes,no,2,1,47,self-employed,no,tertiary,2303
married,no,yes,no,1,0,31,blue-collar,no,secondary,1660
married,yes,yes,no,1,0,35,management,no,tertiary,32
married,no,no,yes,3,0,39,management,no,tertiary,278
married,no,no,no,1,2,50,management,no,tertiary,4
married,no,yes,no,2,4,29,management,no,tertiary,318
single,no,yes,no,2,0,30,services,no,secondary,209
married,no,yes,no,4,0,46,services,no,secondary,271
single,no,no,no,2,0,27,management,no,unknown,3196
divorced,no,no,no,2,0,48,admin.,yes,secondary,4099
single,no,yes,no,1,0,26,student,no,secondary,2572
single,no,no,no,6,0,36,management,no,tertiary,339
married,no,yes,yes,2,0,42,blue-collar,no,primary,0
married,no,yes,no,2,0,50,housemaid,no,primary,395
married,no,yes,no,2,0,49,blue-collar,no,secondary,2039
married,no,no,no,2,0,45,management,no,tertiary,5450
single,no,no,no,1,0,23,student,no,secondary,780
single,no,yes,no,2,0,38,technician,no,secondary,0
single,no,yes,no,1,2,32,management,no,tertiary,8436
single,no,no,no,1,0,60,technician,yes,primary,11262
married,no,yes,no,1,1,30,entrepreneur,no,secondary,946
married,no,no,no,5,0,58,housemaid,no,tertiary,497
married,no,no,no,1,0,60,retired,no,primary,55
married,no,no,no,3,0,38,services,no,secondary,-140
married,no,yes,no,1,0,51,technician,no,secondary,-379
married,no,yes,no,1,4,42,admin.,no,secondary,-396
single,no,yes,no,6,9,30,services,no,secondary,0
married,no,yes,no,7,0,40,management,no,primary,733
married,no,yes,no,3,4,37,management,yes,tertiary,393
divorced,no,yes,no,1,0,53,technician,no,primary,7290
single,no,yes,no,1,0,27,services,no,secondary,468
married,no,yes,no,1,1,39,blue-collar,no,secondary,0
married,no,yes,no,1,0,39,blue-collar,no,primary,3705
married,no,no,no,2,0,59,retired,yes,tertiary,9676
married,no,yes,no,2,4,37,services,no,secondary,1328
married,no,yes,no,2,0,41,blue-collar,no,primary,8
married,no,no,no,1,0,45,blue-collar,no,primary,61
married,no,no,no,3,0,48,management,no,tertiary,6613
married,no,yes,no,3,0,48,technician,no,secondary,302
married,no,no,no,1,0,32,blue-collar,no,secondary,1005
married,no,yes,no,3,0,35,services,no,secondary,109
single,no,yes,no,2,1,33,management,no,tertiary,1240
single,no,yes,yes,4,0,28,blue-collar,no,primary,0
married,no,no,no,1,0,64,retired,no,unknown,2923
married,no,no,no,4,0,35,technician,no,secondary,0
married,no,yes,no,2,2,33,blue-collar,no,secondary,43
married,no,yes,no,4,0,41,technician,no,secondary,288
married,no,yes,no,1,0,34,admin.,no,secondary,613
single,no,no,no,5,1,37,technician,no,tertiary,6101
married,no,yes,yes,3,0,38,blue-collar,no,primary,168
married,no,yes,no,3,0,39,blue-collar,no,primary,7685
divorced,no,yes,no,2,0,35,technician,no,tertiary,4515
single,no,no,yes,1,0,28,blue-collar,yes,secondary,517
single,no,no,no,1,0,27,blue-collar,no,secondary,148
married,yes,no,yes,1,0,48,retired,no,primary,-285
married,no,no,no,1,0,50,blue-collar,no,secondary,887
married,no,yes,no,2,0,45,self-employed,no,secondary,3098
married,no,yes,no,1,0,41,technician,no,tertiary,744
married,no,no,no,2,0,39,technician,no,secondary,130
married,no,yes,no,3,1,44,management,no,secondary,438
married,no,no,no,1,2,54,admin.,yes,secondary,0
married,no,no,no,4,0,49,management,no,tertiary,322
single,no,no,no,1,0,34,blue-collar,no,secondary,186
divorced,no,yes,no,1,1,75,retired,yes,tertiary,3810
married,no,no,no,2,0,42,management,no,tertiary,0
married,no,no,no,7,0,53,blue-collar,no,secondary,4380
divorced,no,no,no,4,0,49,management,yes,tertiary,755
single,no,no,no,2,0,31,services,no,secondary,2070
single,no,no,no,2,0,45,blue-collar,no,primary,999
married,no,yes,yes,1,0,39,self-employed,no,secondary,167
married,no,yes,yes,1,0,46,technician,no,secondary,1322
divorced,no,yes,no,1,0,42,admin.,no,secondary,1076
married,no,yes,no,1,1,37,management,no,tertiary,502
single,no,yes,no,2,0,26,technician,no,tertiary,1216
single,no,yes,no,4,2,37,management,no,tertiary,876
single,no,yes,no,1,0,36,services,no,secondary,342
single,no,yes,no,3,0,29,blue-collar,no,primary,950
married,no,yes,yes,1,0,36,blue-collar,no,primary,973
married,no,yes,no,1,0,26,technician,no,tertiary,3825
married,no,yes,no,2,0,32,blue-collar,no,secondary,2366
married,no,yes,no,1,0,40,management,no,tertiary,542
married,no,no,no,3,0,53,management,no,primary,995
married,no,yes,no,1,0,29,management,no,tertiary,20
single,no,yes,no,4,0,34,technician,no,tertiary,228
married,no,no,no,1,3,43,blue-collar,no,secondary,130
married,no,no,yes,2,0,56,management,no,tertiary,217
divorced,no,no,no,2,0,55,entrepreneur,no,tertiary,0
married,no,yes,no,1,0,31,self-employed,no,tertiary,259
single,no,yes,no,5,4,27,admin.,no,secondary,619
married,no,yes,no,2,0,36,management,no,secondary,644
married,no,yes,no,2,0,44,management,no,tertiary,22
divorced,no,yes,no,1,0,37,admin.,no,tertiary,4303
single,no,yes,no,3,0,30,admin.,no,secondary,239
single,no,no,no,8,0,42,technician,no,secondary,275
married,no,yes,no,4,0,30,management,yes,tertiary,1221
married,no,no,no,2,0,62,retired,no,secondary,816
married,no,yes,no,1,0,24,blue-collar,no,secondary,1222
married,no,yes,no,1,0,31,technician,no,secondary,2363
married,no,no,no,1,0,66,retired,no,tertiary,2262
married,no,no,no,1,0,47,admin.,no,secondary,2
married,no,yes,no,1,0,39,entrepreneur,no,tertiary,2
married,no,yes,no,1,0,35,technician,yes,secondary,4508
divorced,no,yes,no,1,0,35,admin.,no,secondary,-402
married,no,yes,yes,2,0,27,technician,no,secondary,1577
married,no,yes,no,2,0,32,blue-collar,no,secondary,34
married,no,no,no,24,0,44,management,no,tertiary,795
married,no,yes,no,1,0,42,blue-collar,no,secondary,117
single,no,no,no,1,0,34,self-employed,yes,tertiary,5462
single,no,no,yes,1,0,25,services,no,secondary,402
single,no,no,no,6,0,40,technician,no,secondary,641
divorced,no,no,no,1,2,43,management,no,tertiary,36
married,no,no,no,3,0,55,unemployed,no,tertiary,383
married,no,yes,no,3,0,50,blue-collar,no,secondary,283
divorced,no,no,no,1,0,45,management,no,tertiary,0
divorced,no,yes,no,1,0,35,blue-collar,no,secondary,3102
married,no,yes,no,1,5,32,blue-collar,yes,secondary,889
married,no,no,no,1,4,59,housemaid,no,secondary,0
married,no,yes,no,1,0,34,self-employed,no,secondary,-370
married,no,yes,no,1,0,39,management,no,tertiary,-606
single,no,yes,no,3,0,40,management,no,secondary,10378
single,no,yes,no,10,0,36,blue-collar,no,primary,1313
married,no,yes,no,1,0,40,management,no,tertiary,8969
married,no,yes,no,2,0,55,self-employed,no,secondary,-196
married,yes,yes,no,1,0,38,entrepreneur,no,secondary,15
married,no,no,no,1,0,61,admin.,yes,secondary,4608
married,no,yes,no,3,0,41,management,no,tertiary,666
married,no,yes,no,4,0,57,blue-collar,no,primary,452
married,no,yes,no,1,0,48,blue-collar,no,secondary,149
married,no,no,no,1,2,77,retired,yes,tertiary,7802
married,no,yes,no,1,0,35,services,no,secondary,1453
married,no,yes,no,1,0,54,blue-collar,no,secondary,1480
single,no,yes,no,2,0,37,management,no,unknown,715
single,no,yes,no,4,0,56,management,no,secondary,237
married,no,yes,no,4,5,40,technician,no,secondary,694
married,no,no,no,8,0,40,management,no,tertiary,0
married,no,yes,no,2,0,54,management,no,tertiary,55
married,no,yes,no,10,0,55,housemaid,no,primary,136
divorced,yes,yes,no,3,0,55,services,no,secondary,-404
married,no,yes,no,3,0,52,blue-collar,no,primary,779
single,no,yes,no,2,0,55,blue-collar,no,primary,1187
married,no,yes,no,2,0,33,management,no,tertiary,641
married,no,yes,no,2,0,52,blue-collar,no,unknown,826
divorced,no,yes,no,1,0,33,services,no,secondary,991
married,no,no,no,1,2,53,admin.,yes,secondary,1796
married,no,no,no,6,0,46,admin.,yes,secondary,22
single,no,yes,no,4,0,44,technician,yes,secondary,244
divorced,no,yes,no,1,0,48,management,no,tertiary,1328
married,no,yes,no,1,1,50,housemaid,no,secondary,7317
single,no,yes,yes,2,0,34,technician,no,secondary,4943
single,no,no,yes,2,0,38,technician,no,secondary,258
single,no,yes,no,2,0,42,management,no,tertiary,515
single,no,no,no,5,1,32,management,no,tertiary,12607
married,no,yes,yes,9,0,58,admin.,no,secondary,2
married,no,no,no,5,0,31,management,no,tertiary,13
single,no,no,no,2,0,19,student,yes,primary,103
married,no,no,no,1,0,41,management,no,tertiary,3872
married,no,yes,no,3,0,31,unemployed,no,secondary,296
