previous-campaign,subscribed,age,education,default,balance,current-campaign,job,marital,housing-loan,personal-loan
4,no,37,secondary,no,414,2,management,divorced,no,no
2,no,52,tertiary,no,1944,3,management,married,yes,no
6,no,28,secondary,no,3,8,technician,single,no,no
1,no,34,unknown,no,1281,1,student,single,no,no
5,no,50,tertiary,no,2881,2,management,married,no,no
2,no,30,secondary,no,445,1,blue-collar,single,yes,no
1,no,40,secondary,no,643,2,management,married,yes,no
18,no,40,tertiary,no,-1212,2,management,married,yes,no
4,no,41,secondary,no,2125,3,technician,married,yes,yes
2,no,32,secondary,no,271,2,technician,single,yes,no
1,no,47,secondary,no,-75,1,technician,married,yes,no
2,no,27,secondary,no,58,1,services,married,yes,no
1,no,31,tertiary,no,112,2,management,single,yes,no
8,no,40,tertiary,no,13669,1,self-employed,married,no,no
2,yes,43,tertiary,no,1429,1,management,married,yes,no
1,no,47,primary,no,168,1,unemployed,married,yes,no
3,yes,39,secondary,no,7066,3,services,single,yes,no
5,no,59,secondary,no,671,2,management,single,yes,yes
3,yes,55,primary,no,976,1,housemaid,divorced,no,no
2,yes,46,tertiary,no,624,2,management,divorced,no,no
1,no,36,secondary,no,-461,2,blue-collar,married,no,no
19,no,34,tertiary,no,144,1,technician,single,yes,yes
1,no,56,secondary,no,150,6,technician,married,yes,yes
7,no,38,tertiary,no,15030,1,management,single,yes,no
1,yes,26,secondary,no,255,1,admin.,single,no,no
2,no,31,secondary,no,102,2,technician,single,yes,no
3,no,45,primary,no,58,3,entrepreneur,married,yes,no
2,no,28,tertiary,no,882,1,management,single,no,yes
2,yes,27,tertiary,no,5291,2,student,single,no,no
1,no,49,secondary,no,61,2,management,single,yes,no
2,no,30,tertiary,no,3,2,technician,single,yes,no
2,no,34,tertiary,no,35,1,admin.,married,yes,no
1,no,31,primary,no,99,2,blue-collar,married,yes,no
2,no,41,tertiary,no,-29,2,management,married,no,no
2,no,38,primary,no,3913,2,admin.,married,yes,no
2,yes,34,tertiary,no,0,1,management,married,yes,no
2,no,36,tertiary,no,222,1,management,married,yes,no
2,no,27,secondary,no,3276,1,unemployed,single,no,no
3,no,52,secondary,no,196,1,technician,married,yes,yes
2,no,35,secondary,no,6411,1,blue-collar,married,yes,yes
1,yes,58,primary,no,1013,1,self-employed,married,yes,no
1,no,37,secondary,no,5436,11,technician,single,yes,no
2,yes,59,tertiary,no,2013,4,self-employed,married,no,no
1,no,34,tertiary,no,673,1,management,single,yes,yes
5,no,20,secondary,no,291,5,student,single,no,no
5,yes,42,secondary,no,994,1,technician,married,yes,no
3,no,38,tertiary,no,-70,1,management,married,yes,no
3,yes,55,secondary,no,1613,1,blue-collar,divorced,yes,no
3,no,30,secondary,no,81,6,admin.,single,yes,no
3,yes,34,secondary,no,1337,2,services,married,no,no
2,yes,63,secondary,no,3904,2,entrepreneur,married,no,no
2,yes,48,tertiary,no,1147,1,management,married,no,no
3,no,45,unknown,no,7108,1,technician,single,yes,yes
1,no,38,secondary,no,0,5,blue-collar,married,yes,no
3,no,30,tertiary,no,726,1,management,single,yes,no
2,yes,54,secondary,no,2206,1,unknown,married,no,no
2,yes,38,tertiary,no,1988,2,admin.,married,no,no
1,no,64,primary,no,768,2,housemaid,married,no,no
2,no,46,tertiary,no,217,1,technician,married,yes,no
2,no,45,tertiary,no,2096,1,management,divorced,no,no
1,no,59,tertiary,no,1831,1,management,married,no,no
1,no,37,primary,no,851,1,blue-collar,single,yes,no
12,no,35,secondary,no,137,1,blue-collar,married,no,yes
5,no,43,tertiary,no,146,1,management,single,no,no
3,yes,59,secondary,no,1,2,technician,married,no,no
8,yes,37,secondary,no,480,2,technician,married,no,no
1,no,35,secondary,no,2789,2,technician,married,yes,no
3,no,42,tertiary,no,-411,5,technician,single,yes,no
3,no,32,tertiary,no,4089,7,technician,married,no,no
2,yes,37,unknown,no,189,1,technician,married,no,no
3,no,36,tertiary,no,243,2,management,single,yes,no
1,no,36,secondary,no,1482,2,services,single,yes,no
1,no,47,secondary,no,1934,1,admin.,married,no,yes
5,no,31,tertiary,no,62,1,management,single,yes,no
1,no,35,secondary,no,977,4,unemployed,married,yes,no
1,yes,32,tertiary,no,5514,1,technician,single,no,no
6,no,33,secondary,no,889,1,blue-collar,married,yes,no
1,no,34,secondary,no,2729,1,technician,single,yes,no
3,no,50,tertiary,no,-470,2,management,married,yes,no
6,yes,34,secondary,no,1076,1,services,married,no,no
3,no,71,tertiary,no,383,2,technician,married,no,no
1,no,33,secondary,no,706,1,blue-collar,single,yes,no
1,no,36,secondary,no,1825,1,management,married,yes,no
1,no,59,tertiary,no,185,5,self-employed,married,no,no
3,no,39,unknown,no,0,1,blue-collar,married,no,no
4,no,58,secondary,no,1640,6,retired,single,no,yes
1,no,60,secondary,no,174,1,admin.,divorced,yes,no
1,yes,36,tertiary,no,490,8,management,single,no,no
7,no,29,tertiary,no,15459,3,management,single,no,no
2,no,49,tertiary,no,2370,1,management,divorced,yes,yes
1,no,51,secondary,no,160,1,blue-collar,married,yes,no
2,no,32,secondary,yes,5,3,admin.,divorced,yes,yes
1,no,27,secondary,no,54,1,services,married,yes,no
2,no,35,primary,no,298,2,blue-collar,married,yes,no
3,no,43,primary,no,-98,2,blue-collar,married,yes,yes
3,no,41,secondary,no,-217,1,blue-collar,married,yes,no
5,yes,41,tertiary,no,5037,9,management,divorced,no,no
4,no,32,tertiary,no,913,1,management,married,yes,no
1,yes,42,unknown,no,1519,1,management,married,no,no
1,no,31,secondary,no,625,1,management,married,yes,no
3,no,51,secondary,no,867,2,services,married,yes,no
12,yes,80,secondary,no,8304,1,retired,married,no,no
7,no,48,tertiary,no,60,2,management,married,no,no
2,no,46,primary,no,91,1,blue-collar,married,yes,no
4,no,41,tertiary,no,171,1,entrepreneur,married,yes,no
5,no,33,primary,no,142,2,blue-collar,divorced,yes,no
1,no,40,tertiary,no,1509,2,management,single,no,no
2,yes,27,secondary,no,710,1,admin.,married,yes,yes
2,yes,47,secondary,no,1233,1,technician,married,yes,no
2,no,40,tertiary,no,69,2,management,divorced,yes,no
2,no,34,secondary,no,1499,1,admin.,married,yes,no
1,yes,83,primary,no,425,1,retired,married,no,no
7,no,29,secondary,no,1448,1,admin.,single,no,no
1,no,45,secondary,no,706,2,self-employed,married,no,no
4,yes,46,secondary,no,368,1,admin.,married,no,no
5,no,41,secondary,no,121,6,blue-collar,married,yes,no
1,no,24,secondary,no,299,1,admin.,married,yes,no
1,no,50,secondary,no,254,2,services,married,yes,no
1,no,25,tertiary,no,553,4,management,single,yes,no
1,no,21,secondary,no,361,1,services,single,no,no
3,no,34,secondary,no,341,1,technician,single,no,yes
1,no,37,primary,no,37,2,blue-collar,married,yes,no
4,yes,35,secondary,no,0,1,blue-collar,single,yes,no
2,no,28,secondary,no,-97,1,admin.,married,yes,no
6,no,32,tertiary,no,0,5,student,single,no,no
2,yes,36,tertiary,no,495,3,management,married,no,no
1,no,38,secondary,no,157,11,entrepreneur,married,no,yes
1,yes,77,tertiary,no,0,1,retired,married,no,no
3,no,73,primary,no,1388,3,retired,married,no,no
2,no,57,primary,no,13,2,technician,divorced,yes,no
3,no,33,tertiary,no,3696,1,management,married,no,no
2,no,38,tertiary,no,0,5,management,married,yes,no
1,yes,59,secondary,no,259,1,technician,married,no,no
12,no,38,tertiary,no,744,1,technician,single,yes,no
3,no,35,tertiary,no,7546,1,technician,single,yes,no
2,no,39,secondary,no,0,1,blue-collar,married,yes,no
4,yes,29,secondary,no,113,2,technician,single,no,no
1,no,45,secondary,no,1415,1,technician,married,yes,no
4,no,32,secondary,no,286,1,technician,married,no,no
1,no,35,tertiary,no,93,2,management,married,no,no
1,no,38,secondary,no,1663,3,blue-collar,married,yes,no
12,no,42,primary,no,792,2,blue-collar,married,yes,yes
2,no,37,secondary,no,4760,2,services,married,yes,no
4,no,50,secondary,no,203,1,blue-collar,divorced,yes,no
1,no,43,secondary,no,634,1,self-employed,married,yes,no
3,no,54,tertiary,no,1544,7,entrepreneur,married,no,yes
13,no,32,unknown,no,6145,1,services,single,yes,no
1,no,54,unknown,no,386,1,services,married,no,yes
5,no,36,primary,no,49,2,blue-collar,married,yes,no
2,no,34,primary,no,464,1,blue-collar,single,yes,no
3,no,37,tertiary,no,539,2,management,married,no,no
1,no,46,primary,no,2558,1,blue-collar,married,yes,no
1,no,70,secondary,no,2815,2,retired,married,no,no
2,no,32,secondary,no,6217,2,management,married,yes,yes
2,no,32,unknown,no,14533,3,technician,married,no,no
12,no,55,secondary,no,203,5,self-employed,married,yes,no
1,no,36,secondary,no,1746,1,services,married,yes,no
1,no,38,secondary,no,821,2,technician,married,yes,yes
6,no,59,primary,no,699,1,blue-collar,married,no,no
3,no,42,secondary,no,759,1,unemployed,divorced,no,no
1,no,33,secondary,no,687,2,blue-collar,married,yes,no
2,no,53,secondary,no,4968,1,retired,married,no,no
1,no,36,secondary,no,356,3,admin.,divorced,yes,no
1,yes,53,primary,no,306,3,blue-collar,married,no,no
4,no,47,primary,no,556,2,blue-collar,married,yes,no
2,no,32,tertiary,no,4761,2,management,married,yes,no
1,no,40,secondary,no,168,2,admin.,married,yes,no
3,yes,43,secondary,no,132,1,admin.,married,no,no
2,no,34,secondary,no,7,2,blue-collar,married,yes,yes
1,yes,31,tertiary,no,3283,1,management,single,no,no
7,no,40,secondary,no,507,1,unemployed,divorced,yes,no
5,no,30,secondary,no,123,1,self-employed,married,no,yes
1,no,56,secondary,no,2190,2,blue-collar,married,no,yes
7,yes,48,secondary,no,4415,3,management,married,yes,no
2,yes,53,secondary,no,2398,1,admin.,single,yes,no
1,yes,40,secondary,no,100,1,admin.,single,yes,no
2,yes,49,secondary,no,197,1,admin.,married,yes,no
1,no,40,tertiary,no,825,1,technician,single,yes,no
3,no,47,tertiary,no,3232,1,housemaid,single,no,no
2,yes,29,tertiary,no,1445,2,management,single,no,no
5,yes,35,secondary,no,0,1,technician,married,yes,no
2,no,35,tertiary,no,44,2,self-employed,single,no,no
2,no,29,secondary,no,1992,1,admin.,single,no,no
1,yes,51,tertiary,no,297,4,management,single,yes,no
3,no,32,tertiary,no,13711,1,technician,single,yes,no
2,no,37,secondary,no,1175,1,services,single,yes,no
1,no,70,tertiary,no,15834,3,retired,married,no,no
1,no,28,secondary,no,373,9,blue-collar,married,yes,no
1,no,27,secondary,no,2171,1,blue-collar,married,yes,no
5,no,46,secondary,no,4958,3,admin.,married,yes,no
3,no,50,tertiary,no,4374,2,management,married,yes,no
1,no,36,secondary,no,774,2,services,single,yes,no
3,no,37,primary,no,0,1,blue-collar,married,yes,no
1,no,38,primary,no,2240,1,blue-collar,married,yes,no
2,no,48,tertiary,no,541,1,management,divorced,yes,no
1,yes,47,secondary,no,1230,1,blue-collar,married,yes,no
7,no,32,secondary,no,45,3,admin.,single,yes,yes
1,no,86,secondary,no,1503,3,retired,married,no,no
2,no,42,primary,no,-679,1,management,married,yes,yes
2,no,25,unknown,no,10788,2,student,single,no,no
1,no,34,secondary,no,991,1,services,divorced,yes,no
2,no,30,secondary,no,180,1,blue-collar,single,no,no
2,no,34,secondary,no,440,2,technician,single,yes,no
2,no,39,secondary,no,-735,5,technician,married,yes,no
5,yes,39,secondary,no,902,2,technician,divorced,yes,no
7,yes,28,tertiary,no,0,2,student,single,no,no
4,yes,46,tertiary,no,273,2,management,married,yes,no
7,no,54,secondary,no,1139,1,retired,married,yes,no
1,no,54,secondary,no,0,1,blue-collar,married,no,no
1,yes,29,tertiary,no,1026,1,management,single,no,no
3,yes,22,primary,no,3472,1,student,single,no,no
1,no,49,primary,no,474,3,blue-collar,married,yes,yes
8,no,46,tertiary,no,1410,1,entrepreneur,single,yes,no
2,yes,41,secondary,no,6046,6,admin.,divorced,yes,yes
7,no,36,tertiary,no,980,4,admin.,single,no,no
7,no,77,primary,no,680,2,retired,married,no,no
2,no,35,secondary,no,-259,1,technician,married,yes,no
3,no,54,unknown,no,310,4,blue-collar,married,yes,no
1,no,56,unknown,no,2038,1,admin.,married,no,no
3,no,34,secondary,no,105,2,technician,single,yes,no
2,no,45,secondary,no,2926,3,blue-collar,married,yes,yes
1,no,28,primary,no,60,1,blue-collar,married,yes,no
1,no,32,tertiary,no,1583,1,admin.,single,yes,no
1,no,28,secondary,no,1065,1,blue-collar,single,yes,yes
1,no,51,secondary,no,-13,1,unemployed,married,yes,no
1,no,31,secondary,no,609,1,blue-collar,single,yes,no
6,yes,40,tertiary,no,0,2,management,single,yes,no
3,no,51,primary,no,42,2,blue-collar,married,yes,no
2,yes,59,primary,no,1727,4,management,married,no,no
3,yes,30,tertiary,no,1942,2,management,married,yes,yes
10,yes,59,primary,no,4198,1,technician,married,no,no
2,no,52,primary,no,230,2,blue-collar,married,yes,no
1,yes,48,secondary,no,568,2,technician,married,yes,no
1,no,29,unknown,no,486,1,blue-collar,married,yes,no
4,no,41,primary,no,22,3,housemaid,divorced,yes,no
5,yes,47,secondary,no,1167,1,technician,married,yes,no
3,no,38,tertiary,no,35,1,management,single,yes,no
11,no,80,secondary,no,8304,1,retired,married,no,no
1,no,69,tertiary,no,473,1,retired,married,no,no
1,no,26,tertiary,no,592,2,management,single,no,no
3,no,58,tertiary,no,9339,3,management,married,yes,no
2,no,39,secondary,no,1970,1,services,married,yes,no
1,no,38,tertiary,no,1513,1,self-employed,divorced,no,no
1,no,24,secondary,no,508,3,student,single,yes,no
4,yes,48,secondary,no,817,1,unemployed,married,no,no
2,no,41,secondary,no,348,2,technician,divorced,yes,no
4,yes,35,tertiary,no,1265,5,housemaid,married,yes,no
4,yes,37,tertiary,no,4089,2,management,married,yes,no
2,no,51,primary,no,602,1,blue-collar,divorced,yes,no
4,yes,33,secondary,no,386,1,services,married,no,no
8,no,47,secondary,no,826,3,technician,married,yes,no
14,yes,28,secondary,no,-46,1,blue-collar,single,yes,no
4,no,32,secondary,no,33,1,blue-collar,single,yes,no
2,no,40,secondary,no,1438,1,services,married,yes,no
1,no,46,secondary,no,1693,1,admin.,single,yes,no
3,no,54,tertiary,no,26306,1,management,divorced,yes,no
4,yes,34,tertiary,no,3301,2,management,married,yes,no
2,yes,24,secondary,no,822,1,student,single,no,no
7,no,34,unknown,no,1534,1,management,single,yes,no
5,yes,33,secondary,no,139,2,blue-collar,married,yes,yes
1,no,46,tertiary,no,46,1,management,single,no,yes
3,no,34,secondary,no,10,1,admin.,single,no,yes
2,no,49,tertiary,no,780,1,unemployed,divorced,no,no
1,yes,37,tertiary,no,238,1,management,married,no,no
1,no,36,tertiary,no,1531,3,management,single,yes,no
3,no,58,secondary,no,502,2,retired,married,yes,no
3,no,55,secondary,no,0,2,admin.,married,no,no
1,no,34,tertiary,no,171,1,management,single,yes,no
10,no,38,secondary,no,1931,1,technician,married,no,no
6,no,34,secondary,no,2,1,entrepreneur,married,yes,yes
3,no,48,secondary,no,197,2,technician,married,no,yes
2,no,28,secondary,no,769,1,technician,single,yes,no
1,no,36,tertiary,no,6,1,technician,married,yes,no
1,no,53,secondary,no,225,1,admin.,married,yes,no
9,no,38,secondary,no,883,1,admin.,single,yes,no
3,yes,30,tertiary,no,102,7,management,married,yes,no
2,no,33,tertiary,no,490,1,admin.,single,yes,no
3,no,26,secondary,no,512,5,services,single,yes,yes
3,no,36,secondary,no,417,10,services,single,yes,no
2,no,33,secondary,no,661,1,admin.,divorced,yes,no
2,yes,43,secondary,no,3403,2,services,single,yes,no
2,no,42,secondary,no,1491,2,blue-collar,divorced,yes,no
1,no,32,secondary,no,6402,1,technician,single,yes,no
5,no,30,tertiary,no,877,1,management,married,no,no
1,no,40,secondary,no,0,2,technician,married,yes,yes
1,no,26,secondary,no,203,1,student,single,no,no
4,no,52,secondary,no,1818,2,technician,married,no,yes
2,yes,42,secondary,no,1289,4,unemployed,married,no,no
2,yes,73,primary,no,796,1,retired,married,no,no
4,yes,51,secondary,no,117,2,technician,married,no,no
1,no,39,tertiary,no,691,1,management,married,yes,yes
1,yes,35,secondary,no,724,2,management,married,yes,no
1,no,30,secondary,no,-28,2,blue-collar,married,yes,no
2,no,46,primary,no,665,4,blue-collar,married,no,no
4,yes,36,tertiary,no,925,3,management,married,no,no
4,no,26,primary,no,155,1,blue-collar,single,yes,no
10,yes,22,secondary,no,2488,2,student,single,no,no
3,no,32,tertiary,no,1667,2,management,married,yes,no
4,no,50,secondary,no,769,2,admin.,divorced,no,no
6,yes,50,unknown,no,558,1,unknown,married,no,no
7,no,35,secondary,no,1257,3,blue-collar,married,yes,no
3,no,55,unknown,no,23,1,blue-collar,married,no,no
3,no,48,tertiary,no,8106,1,management,single,no,no
1,no,56,primary,no,29,2,entrepreneur,divorced,no,no
1,yes,44,secondary,no,14,1,technician,divorced,no,no
9,yes,31,tertiary,no,4148,3,management,married,yes,no
2,no,49,tertiary,no,377,1,unemployed,married,no,no
5,yes,34,secondary,no,479,1,admin.,divorced,yes,no
1,no,44,secondary,no,1071,3,blue-collar,married,yes,no
1,no,55,secondary,no,865,1,admin.,married,yes,no
2,yes,52,tertiary,no,2557,5,technician,married,no,no
4,no,32,secondary,no,4,2,technician,married,no,no
1,no,36,primary,no,367,1,blue-collar,single,no,no
8,no,36,secondary,no,725,3,admin.,married,yes,no
1,no,45,secondary,no,776,4,blue-collar,married,yes,no
1,no,28,secondary,no,1453,1,technician,single,yes,no
5,no,27,tertiary,no,3672,2,admin.,single,yes,no
4,yes,45,secondary,no,0,1,blue-collar,single,yes,no
2,yes,36,tertiary,no,1133,1,management,married,yes,no
1,no,59,secondary,no,92,2,admin.,married,yes,no
6,yes,27,tertiary,no,3733,1,student,single,yes,no
2,no,46,secondary,no,0,2,admin.,married,yes,yes
1,no,35,tertiary,no,560,1,self-employed,married,yes,no
1,yes,29,tertiary,no,437,1,management,single,no,no
1,no,74,secondary,no,935,1,retired,married,no,no
5,no,57,secondary,no,1521,2,blue-collar,married,yes,yes
7,no,34,tertiary,no,1310,3,management,married,no,no
1,yes,55,tertiary,no,9756,2,management,divorced,yes,no
1,no,37,primary,no,403,2,blue-collar,married,yes,no
4,no,45,secondary,no,809,2,technician,divorced,yes,no
3,no,33,tertiary,no,287,2,management,married,yes,no
4,no,47,unknown,no,677,1,unknown,married,no,no
1,no,47,tertiary,no,477,1,technician,divorced,yes,no
8,yes,32,secondary,no,230,1,technician,single,yes,no
1,no,60,secondary,no,-396,1,admin.,married,yes,no
4,no,34,tertiary,no,1657,2,management,married,yes,no
1,no,39,secondary,no,994,1,technician,married,no,no
8,no,34,secondary,no,1221,1,blue-collar,married,yes,no
2,no,42,secondary,no,2157,1,blue-collar,married,yes,no
1,no,37,primary,no,22856,1,management,married,no,no
4,no,35,secondary,no,5731,2,technician,single,yes,no
2,no,56,secondary,no,1270,2,admin.,married,yes,no
3,no,41,secondary,no,748,7,admin.,single,no,no
4,no,57,secondary,yes,25,1,entrepreneur,divorced,yes,no
3,no,26,secondary,no,96,2,admin.,single,yes,no
2,yes,39,tertiary,no,763,7,management,married,yes,no
1,no,36,tertiary,no,1582,2,management,married,no,no
2,yes,43,secondary,no,699,2,blue-collar,married,yes,yes
2,no,47,primary,no,881,1,blue-collar,married,yes,no
4,yes,38,secondary,no,6728,1,technician,married,no,no
1,no,40,secondary,no,167,4,self-employed,married,yes,yes
1,yes,32,tertiary,no,1625,1,technician,single,no,no
1,no,23,primary,no,8627,1,blue-collar,single,yes,no
2,no,31,tertiary,no,2590,2,management,single,no,no
1,no,61,primary,no,848,1,housemaid,married,no,no
2,no,43,secondary,no,481,1,management,married,yes,no
3,no,32,tertiary,no,697,1,management,single,no,no
1,no,39,tertiary,no,894,1,management,married,yes,no
4,no,37,primary,no,655,2,blue-collar,married,yes,no
